input_id	dealiased_id	standard_id	short_id
doi:10.1016/j.csbj.2020.05.017	doi:10.1016/j.csbj.2020.05.017	doi:10.1016/j.csbj.2020.05.017	NiAmOQj0
doi:10.1038/s41597-024-04070-w	doi:10.1038/s41597-024-04070-w	doi:10.1038/s41597-024-04070-w	1Fxwv2U6v
doi:10.1101/2025.08.11.666099	doi:10.1101/2025.08.11.666099	doi:10.1101/2025.08.11.666099	thqe2TMi
doi:10.1093/nar/gkac888	doi:10.1093/nar/gkac888	doi:10.1093/nar/gkac888	ewr0v1mD
doi:10.1093/nar/gkaa1113	doi:10.1093/nar/gkaa1113	doi:10.1093/nar/gkaa1113	1Grvn6wjr
doi:10.1093/nar/gkac1052	doi:10.1093/nar/gkac1052	doi:10.1093/nar/gkac1052	1ENygunzG
doi:10.1093/nar/gkad1005	doi:10.1093/nar/gkad1005	doi:10.1093/nar/gkad1005	1EAIoygBW
doi:10.1371/journal.pcbi.1002375	doi:10.1371/journal.pcbi.1002375	doi:10.1371/journal.pcbi.1002375	1Hnja2fZ1
doi:10.1038/30918	doi:10.1038/30918	doi:10.1038/30918	YxqwXrau
doi:10.1126/science.286.5439.509	doi:10.1126/science.286.5439.509	doi:10.1126/science.286.5439.509	rly3gDig
doi:10.1016/j.drudis.2013.05.011	doi:10.1016/j.drudis.2013.05.011	doi:10.1016/j.drudis.2013.05.011	hjN0M0xO
doi:10.1038/s41588-019-0500-1	doi:10.1038/s41588-019-0500-1	doi:10.1038/s41588-019-0500-1	akdxNohe
url:https://kidsfirstdrc.org	url:https://kidsfirstdrc.org	url:https://kidsfirstdrc.org	JkpD6jMa
doi:10.1002/1545-5017.70055	doi:10.1002/1545-5017.70055	doi:10.1002/1545-5017.70055	zYFAupKx
doi:10.1073/pnas.0506580102	doi:10.1073/pnas.0506580102	doi:10.1073/pnas.0506580102	15p5LWIVP
doi:10.1016/j.cels.2015.12.004	doi:10.1016/j.cels.2015.12.004	doi:10.1016/j.cels.2015.12.004	1CbVoEpNJ
doi:10.1093/nar/gkaa1024	doi:10.1093/nar/gkaa1024	doi:10.1093/nar/gkaa1024	pzgOjFLZ
doi:10.1145/1148170.1148225	doi:10.1145/1148170.1148225	doi:10.1145/1148170.1148225	1Ab5kRJRG
doi:10.1093/bioinformatics/btae114	doi:10.1093/bioinformatics/btae114	doi:10.1093/bioinformatics/btae114	fqiuQAWB
doi:10.1038/s41586-020-2308-7	doi:10.1038/s41586-020-2308-7	doi:10.1038/s41586-020-2308-7	55r9iVwk
doi:10.1002/pbc.30732	doi:10.1002/pbc.30732	doi:10.1002/pbc.30732	14gF47TQp
doi:10.3390/genes10090663	doi:10.3390/genes10090663	doi:10.3390/genes10090663	pQnr5mcT
doi:10.1186/s13059-016-0974-4	doi:10.1186/s13059-016-0974-4	doi:10.1186/s13059-016-0974-4	p1f5DxRQ
